δ-missulenatoxin-Mb1a,Missulena,bradleyi
ω-missulenatoxin-Mb1a,Missulena,bradleyi
TaITX-1,Tegenaria,agrestis
TaITX-2,Tegenaria,agrestis
TaITX-3,Tegenaria,agrestis
Agelenin,Agelena,orientalis
Agelenin,Allagelena,opulenta
μ-agatoxin I,Agelenopsis,aperta
μ-agatoxin II,Agelenopsis,aperta
μ-agatoxin III,Agelenopsis,aperta
μ-agatoxin IV,Agelenopsis,aperta
μ-agatoxin V,Agelenopsis,aperta
μ-agatoxin VI,Agelenopsis,aperta
Curtatoxin I,Hololena,curta
Curtatoxin II,Hololena,curta
Curtatoxin III,Hololena,curta
ω-agatoxin IA,Agelenopsis,aperta
ω-agatoxin IB,Agelenopsis,aperta
ω-agatoxin IIA,Agelenopsis,aperta
ω-agatoxin IIIA,Agelenopsis,aperta
ω-agatoxin IIIB,Agelenopsis,aperta
ω-agatoxin IIIC,Agelenopsis,aperta
ω-agatoxin IIID,Agelenopsis,aperta
ω-agatoxin IIIA (58T),Agelenopsis,aperta
ω-agatoxin IIIB (35R),Agelenopsis,aperta
ω-agatoxin IIIB (29S),Agelenopsis,aperta
ω-agatoxin IVA,Agelenopsis,aperta
ω-agatoxin IVB,Agelenopsis,aperta
ω-agatoxin IVC,Agelenopsis,aperta
peptide J2,Agelenopsis,aperta
δ-palutoxin IT1,Pireneitega,luctuosa
δ-palutoxin IT2,Pireneitega,luctuosa
δ-palutoxin IT3,Pireneitega,luctuosa
δ-palutoxin IT4,Pireneitega,luctuosa
Neurotoxin PNTx13C3,Phoneutria,nigriventer
Neurotoxin PNTx24A0C3,Phoneutria,nigriventer
Neurotoxin PNTx24A0C4,Phoneutria,nigriventer
Neurotoxin PNTx27C4,Phoneutria,nigriventer
CSTX-9,Cupiennius,salei
Neurotoxin PKTx19C5,Phoneutria,keyserlingi
Toxin PnV2,Phoneutria,nigriventer
Spasmogenic toxin PnV1,Phoneutria,nigriventer
Phoneutria nigriventer tachykinin peptide-I,Phoneutria,nigriventer
Phoneutria nigriventer tachykinin peptide-II,Phoneutria,nigriventer
Phoneutria nigriventer tachykinin peptide-III,Phoneutria,nigriventer
Phoneutria nigriventer tachykinin peptide-IV,Phoneutria,nigriventer
Phoneutria nigriventer tachykinin peptide-V,Phoneutria,nigriventer
Phoneutria nigriventer tachykinin peptide-VI,Phoneutria,nigriventer
Phoneutria nigriventer tachykinin peptide-VII,Phoneutria,nigriventer
Phoneutria nigriventer tachykinin peptide-VIII,Phoneutria,nigriventer
Phoneutria nigriventer tachykinin peptide-IX,Phoneutria,nigriventer
Phoneutria nigriventer tachykinin peptide-X,Phoneutria,nigriventer
