entry,pdb_code
B3EWF4,null
B3EWF5,null
B3EWF6,null
B3H7I1,null
C0HJY4,2NBC
D1MEI7,null
D2Y1X6,1NIX 2MQF 2MXO
D2Y1X7,null
D2Y1X8,null
E7CLP2,null
O46166,2KSL 6URP
P01492,1VNA 1VNB
P01535,1ANS
P09040,null
P09971,null
P0C023,null
P0DL49,null
P0DV18,null
P13487,1BAH 1CMR 2A9H 2CRD 4JTA 4JTC 4JTD
P30832,null
P45697,1DJT 1SN1 1T7A 1T7B 1T7E 1ZU3 1ZUT 1ZVE 1ZVG 1ZYV 1ZYW
P49126,2MI5 6A90 6A91 6A95 8F0S
P56207,1AXH 1HVW
P56587,1TER
P61095,2MF3
P61103,null
P61104,null
P61507,null
P61849,null
P69391,null
P81694,null
P82228,1DL0
P83256,1V90
P83257,1V91
P83288,null
P83561,2GX1
P83644,null
P83919,null
P85253,null
P85797,null
P86147,null
P86716,2N85 2N86
P86899,2LAM
P93193,3R50 3R51 3R52 4DDN
Q10726,1WZ5
Q1ELU4,null
Q26464,null
Q53I06,1ZFU 3E7R 3E7U 6K50 6K51 7O76 7OAE 7OAG
Q9UAC8,null
A0A3G5BIB1,6PX8
A0A3G5BIC2,6PX7
A0A6G9KHD3,null
A0A6G9KHD6,null
A0A6G9KIR5,null
A0A6G9KIT6,null
A0A6G9KJK9,null
A0A6G9KJV6,null
A0A6M6RE84,null
B3EWF2,null
B3EWF3,null
B3EWS5,null
B3EWS6,null
B3EWY4,null
C0HLS2,null
C0HLS3,null
D2Y204,null
D2Y205,null
D2Y207,null
D2Y208,null
D2Y209,null
D2Y210,null
D2Y211,null
D2Y212,null
D2Y228,null
D2Y230,null
D2Y2D5,null
D2Y2I9,null
D2Y2K5,null
D2Y2K7,null
D2Y2K8,null
D2Y2K9,null
D2Y2L2,null
D2Y2L3,null
E3P6S4,null
E7BLC7,null
K7N5K9,2LL1
O46167,null
O46168,null
O76199,null
O77091,1T0Z
P01493,1JZA 1JZB
P01494,2SN3
P09229,1EQK
P0C1F4,null
P0C5F2,2LDS
P0CF38,null
P0DJ08,2KYJ
P0DL77,null
P0DM24,6ENA
P0DQN8,6OHX
P0DQN9,null
P0DQO6,null
P0DQO7,null
P0DSM4,null
P0DUS6,null
P0DUT1,null
P11057,1EIT
P11060,null
P11061,null
P29425,null
P31328,2E2S
P36983,null
P37045,1AGG 1OMA 1OMB
P59367,null
P59368,null
P60976,null
P61541,1WQK 7BWI
P82959,1I25
P83259,null
P83301,null
P83400,null
P83407,1Q2K 1R1G 3E8Y
P83558,null
P83560,2ROO
P83562,null
P83580,null
P83619,2K38
P83974,null
P84843,null
P85258,null
P85259,null
P85504,2KGH
P86718,null
P86862,null
P86942,2LER
Q1ELT9,2PCO
Q1ELU1,2G9P
Q1ELU2,null
Q1ELU7,null
Q1ELU8,null
Q1ELU9,null
Q4LCS8,null
Q8GTM0,4AAZ 4AB0 4CQK 6B55
Q8T0W8,2CDX 2E2F
Q9NBW2,null
Q9U3Z3,null
Q9UAC9,null
A0A0A0V633,5FZX
A0A0A0V662,5FZV
A0A0A0VBR5,5FZW
A0A1W6EVM7,null
A0A1W6EVN2,null
A0A2R4SV19,null
A0A6B9L6D3,null
A5A3H1,null
A5A3H2,null
A5A3H3,null
A5A3H4,null
A5A3H5,null
B1P1I0,null
B3EWF1,null
B3EWF9,null
B3EWT0,null
B3EWT1,null
C0HJK5,2MQU
C0HJV3,null
C0HJV4,null
C0HJV5,null
C0HJV7,null
C0HJV8,null
C0HJY5,null
C0HJY6,null
C0HJY7,null
C0HJY8,null
C0HJY9,null
C0HJZ0,null
C0HL27,null
C0HLF5,null
C0HLF6,null
C0HLM0,null
C0HLM1,null
C0HLR8,null
C3TS04,null
C3TS06,null
C3TS08,null
C3TS10,null
C7G3K3,7WKF
D1MEI8,null
D1MEJ3,null
P01075,1H20 4CPA 7EQZ
P01076,null
P01499,null
P01528,null
P0C1F5,null
P0C2A0,null
