entry,pdb_code
P58488,1CHZ
P45697,1DJT 1SN1 1T7A 1T7B 1T7E 1ZU3 1ZUT 1ZVE 1ZVG 1ZYV 1ZYW
P0C1Z3,1WQC 1WQD
P0C1Z4,1WQE
P0C195,2LXG 6J8E 7SAV 7SAW
C0HJY4,2NBC
A0A2L1DGG0,6WQR
P85177,2GJ0
A0A6M3Z554,null
P83257,1V91
P31328,2E2S
P58451,2K7G 3E4H
C1J5M6,2LO9 2LOC
P0C1Y9,1FAS
P01524,1GIB
P56636,1M2C 1M2C 1MII 2AJW 2AK0
P0C201,1X5V
P58434,2KCG 2KNM 2KNN 7RMQ 7RMR 7RMS
P83476,2N9T 5O0U 5TCZ 6MK4 6N4I 6N4Q 6N4R
A0A3F2YLP5,5WLX
P25810,1C4E 1GUR 5OLL
P01523,1TCG 1TCG 1TCH 1TCJ 1TCK
P81755,1WCT
P86899,2LAM
P86405,2LKB
Q4PN35,2NDI
Q2PAY4,6CGW 6CHC 6CNU
P82172,1B8W
Q9NJP7,1DU9
P58779,1I6F 1I6G 1NH5
P56633,1AV3 1KCP 2N8E
P24662,1KTX 1XSW 2KTX 2UVS 3ODV
P50984,1PEN 2BR8 7N1Z
Q9U8D2,1WM7
R4ZCU1,2LZO
P61095,2MF3
A0A1L1QJU3,2N8F
P11057,1EIT
D2Y1X6,1NIX 2MQF 2MXO
P01522,1OMC 1TR6 1TTL 2CCO
P83256,1V90
Q9GQW3,1OMY 2E0H
P0C280,2H9X
P62520,2I1T
P83303,1MB6 2M4X 2M4Z 2M50 5T3M 5TLR 6W6O 7K48
A0A4V8GZX0,6GFT
A0A3G5BIC2,6PX7
C7G3K3,7WKF
P01441,1CB9 1CCQ 1FFJ
P56852,1D1H
P82959,1I25
P05484,1DW4 1DW5 1FEO 1MVI 1OMG 1TT3 1TTK 7MIX 7VFU
P28881,1MVJ
P37300,1CNN 1OMN 1V4Q
P62931,1P8B
P01451,1RL5 1ZAD 5NPN 5NQ4 5T8A
P60514,1LMM 2KNI 3S3X 4FZ0 4FZ1
P08900,2LI7 2LJM
P49126,2MI5 6A90 6A91 6A95 8F0S
A0A0J9X1W9,2MPQ
P0DL36,2MUN 2MZ4
P81929,1JKZ
P17728,1LQH 1LQI 2ASC 2ATB 2YEO
P01487,1LQQ
Q90VW1,1ERA 1FRA 1NXB 3EBX 6EBX
P60277,1DQ7 2A7T
Q8T0W8,2CDX 2E2F
S0F209,null
P55927,2PTA
A8N286,3HH7
P29187,1BEI 1C2U 1ROO 2K9E 4LFQ 4LFS 4Z7P 5I5A 5I5B 5I5C
P0DOC5,6V6T
P01452,1CDT
A0A3G5BIB1,6PX8
P56676,1QK6
P0DJ46,2M01
P01495,1CN2 2YBR 2YC1 4V1D
P01398,1KBA 2NBT 7ULR
Q9PWF3,1H5O 1Z99
Q27913,1BQF 2EQH 2EQQ 2EQT
P80958,1ONJ 1VB0
P49268,2M36
A4FS04,2OSH
P54135,1SNB
P01391,1CTX 1LXG 1LXH 1YI5 4AEA 6ZFM 7PC0 7ULG
O77091,1T0Z
P01484,1AHO 1PTX 1SEG  4AEI 6NT4
P01382,1NTN 1W6B
A0A4P1LYC9,6R5M
P60775,1QKD 1QKE 2ERA 3ERA 5EBX
P15226,1B7D 1NPI
C0HLN8,7RIH 7RII 7RIJ 7RN3
P01396,null
P84646,4HHF
P60616,1HC9 2QC1 4HQP 4UY2 5HBT 5HBV 7KOO
P60615,1ABT 1BXP 1HAA 1HAJ 1HC9 1HOY 1IDG 1IDH 1IDI 1IDL 1IK8 1IKC 1JBD 1KC4 1KFH 1KL8 1L4W 1LJZ 1RGJ 2ABX 2BTX 6UWZ 8DA1
P59854,1KV0
Q53B58,7ULQ
