entry,pdb_code
A0A0A1I6E7,null
A0A0A1I6N9,null
A0A0B5A8P4,null
A0A0B5AC95,5JYQ 6VEQ
A0A0N7CSQ4,2MVA
A0A1Z0YU59,5M4V
A0A5C2A2T2,null
A0A6P3CW73,6MRQ
A8CG86,null
B6D434,null
B9W5G6,3LIM 3VWI 3W9P 3ZWG 3ZWJ 4TSL 4TSN 4TSO 4TSP 4TSQ 4TSY 4WDC 5BPG 5GWF
C0HL58,null
F8J4S0,2L3I
I0DEB3,null
I6L8L6,4DCF 4K06
P00624,1PP2
P0C6R9,null
P0C7P5,null
P0DKU2,null
P0DUJ5,null
P17347,1RO3 6LSQ 2ECH
P20474,5TFV
P82972,null
P83080,7OVZ
P84189,null
Q2PE51,null
Q6JQN2,null
Q7LZ09,1Q01
Q7T1M3,null
Q8MTX2,null
Q90Y12,null
Q9Y0X6,null
A0A5C1ZW08,null
A0A5C1ZXT8,null
A6MEY4,null
A8Y7P1,null
B9UIY3,null
C0HL57,null
C0HL59,null
C5J886,null
C5J887,null
C6EVG7,null
C7B247,null
C9DPL5,null
D9IX97,null
F1AWB0,null
G8YYA5,null
G8YYA6,null
L0GCI6,null
P0C2B0,null
P0DJ94,null
P0DJK0,2LDE
P0DL71,null
P0DL76,null
P0DM55,null
P0DM77,null
P0DQP9,null
P0DQT1,6VL2 7KDQ
P0DSN5,null
P0DUC3,null
P14478,null
P17497,2MOP 2MP5
P21963,1JZN 1MUQ
P31713,1SHP 3M7Q 3OFW 3T62 3UOU
P56972,7M1D 7M1E
P60045,1LN8 1MF4 1OXR 1SZ8 1T37 1TD7 1YXL 1ZM6 3GCI 3JQ5 3JQL 3JTI 3NJU 3OSH 3Q4Y
P68520,null
P80245,1UG4
P81743,null
P83081,null
P83083,null
P83084,null
P83228,null
P85141,null
P85162,null
P86259,null
Q58T41,null
Q58T42,null
Q58T44,null
Q58T52,2MHW
Q58T60,null
Q58T61,null
Q58T62,null
Q58T74,null
Q58T77,null
Q58T79,null
Q718F4,null
Q8UVZ7,null
Q90W88,null
Q90WP7,2M3N
Q9PRW2,null
Q9PRW4,null
S6CWV8,null
S6D3A7,null
U5KJM4,2MWT
W4VSF6,2N24 5KKM
A0A023W0B6,null
A0A023W140,null
A0A023W145,null
A0A023W157,null
A0A0B5A7M7,null
A0A0B5A7N1,null
A0A0B5A7N5,null
A0A0B5A7N8,null
A0A0B5A7P2,null
A0A0B5A8P8,null
A0A0B5A8Q2,5JYQ 6VEQ
A0A0B5A8Q6,null
A0A0B5ABD5,null
A0A0B5ABD9,null
A0A0B5ABE4,null
A0A0B5ABE6,null
A0A0B5AC86,null
A0A0B5AC90,null
A0A0B5AC98,null
A0A0B5ADT3,null
A0A0B5ADT9,null
A0A0B5ADU4,null
A0A0B5ADV0,null
A0A0C4G489,null
A0A0C4G4L1,null
A0A0C4G5K0,null
A0A0E3SVE7,6PPC
A0A0F7YYV0,null
A0A1D3IXJ5,null
A0A1D3IXR7,null
A0A1R3S3A8,null
A0A2I6EDL2,null
A0A2I6EDL4,null
A0A346CED7,null
A0A3S9V8K6,null
A0A3S9V8L7,null
A0A3S9V8L9,null
A8Y7P5,null
B2KTG1,null
B3EWI9,null
B3EWR3,null
B3EWS9,null
B3EWU1,null
B3EWU2,null
B3EWU3,null
B3EWV1,null
B3EWV2,null
B3EWV4,null
B3EWV5,null
B3EWV6,null
B3EWV7,null
B3EWV8,null
B3EWV9,null
B3EWW0,null
B3EWW1,null
B3EWW3,null
B3EWW4,null
B3EWW5,null
B3EWW6,null
B3EWW7,null
B3EWW8,null
B3EWW9,null
B3EWX0,null
B3EWY2,null
B3EWY3,null
B3FIA5,null
B4YSU8,null
B6RLX2,null
B6S2X0,null
B6S2X2,null
C0HJU9,6CL3 7MMM
C0HJW8,null
C0HK04,null
C0HKF0,5U9S 5U9Y 5UA8
C0HKF1,5U9Q 5U9V 5UA6
C0HKF2,5U9R 5U9X 5UA7
C0HKY6,null
C0HKZ1,null
C0HKZ3,null
C0HLZ7,null
C0HM72,null
C0HM73,null
C0HM75,null
C0HM76,null
C0HM77,null
C0HM78,null
C5J888,null
D1MZV3,null
D2DGD4,null
D5J9S0,null
E4VP07,null
G1FE62,null
I0DEB4,null
I0DEB5,null
I0DEB6,null
L0GAZ8,null
L0GCV8,null
N0EAL3,null
P01022,null
P04204,null
P04562,null
P0C2B1,null
P0C2F2,null
P0C2U6,null
P0C2U7,null
P0C2V0,null
P0C642,null
P0C7J7,null
P0C7J8,null
P0C7J9,null
P0C7K0,null
P0C7K1,null
P0C7K2,null
P0C7K3,null
P0C7R6,null
P0C7S1,null
P0C7S2,null
P0C7S3,null
P0C7S4,null
P0C7S5,null
P0C7S6,null
P0C7S7,null
P0C844,null
P0C849,null
P0C8A2,null
P0C8A3,null
P0C8A5,null
P0C8S6,null
P0C8W1,null
P0C8W2,null
P0C8W4,null
P0C8X2,null
P0C8X3,null
P0CH20,null
P0CH48,null
P0CH49,null
P0CI24,2M61
P0CV87,null
P0CV89,null
P0CV91,null
P0CV92,null
P0DJ02,null
P0DJ03,null
P0DJK1,null
P0DJK2,null
P0DJK3,null
P0DJK4,null
P0DJK6,null
P0DJK7,null
P0DJO3,null
P0DJO4,null
P0DKP5,null
P0DKP6,null
P0DKP7,null
P0DKP8,null
P0DKQ7,null
P0DKY6,null
P0DKZ2,null
P0DKZ3,null
P0DKZ4,null
P0DKZ5,null
P0DKZ8,null
P0DKZ9,null
P0DL00,null
P0DL02,null
P0DL04,null
P0DL05,null
P0DL06,null
P0DL41,null
P0DM29,null
P0DMD6,null
P0DME6,null
P0DME8,null
P0DMI7,null
P0DMJ2,null
P0DMJ3,null
P0DMJ4,null
P0DMX0,null
P0DN08,null
P0DOZ0,null
P0DOZ1,null
P0DPJ2,null
P0DPJ5,null
P0DPJ6,null
P0DPJ7,null
P0DQM6,null
P0DQM7,null
P0DQN0,null
P0DQQ7,null
P0DQQ8,null
P0DQR0,null
P0DQU2,null
P0DQU9,null
P0DQW8,null
P0DQW9,null
P0DQY3,null
P0DQY6,null
P0DQZ0,null
P0DRB0,null
P0DRB1,null
P0DRB2,null
P0DRB5,null
P0DRB6,null
P0DRB7,null
P0DTJ5,null
P0DTJ6,null
P0DTJ7,null
P0DTJ8,null
P0DTJ9,null
P0DUC4,null
P0DUC5,null
P0DUC6,null
P0DUC7,null
P0DUC8,null
P0DV70,null
P0DV71,null
P0DW72,null
P0DX55,null
P0DX56,null
P0DX60,null
P0DX61,null
P0DX64,null
P10280,null
P13211,null
P16344,null
P18618,null
P21858,null
P21859,1J2L
P22827,null
P28374,7BRI
P30424,null
P30426,null
P31351,null
P58803,null
P62384,null
P79799,null
P81547,null
P81548,null
P81742,null
P83055,null
P83224,null
P83227,null
P83230,8S9Y
P83239,null
P83240,null
P84190,null
P84698,null
P84705,null
P84706,null
P84707,null
P84745,null
P84747,null
P85024,null
P85039,null
P85040,null
P85041,null
P85159,null
P85160,null
P85163,null
